title,abstract,year
Pharmacotherapeutic Strategies and New Targets in OCD.,"Effective pharmacological and psychotherapeutic treatments are well established for obsessive-compulsive disorder (OCD). Serotonin reuptake inhibitors (SRIs) are first-line treatment and are of benefit to about half of patients. Augmentation of SRI treatment with low-dose neuroleptics is an evidence-based second-line strategy. Specialty psychotherapy is also used as both first-line and second-line treatment and can benefit many. However, a substantial number of patients do not respond to these treatments. New alternatives are urgently needed. This review summarizes evidence for these established pharmacotherapeutic strategies, and for others that have been investigated in refractory disease but are not supported by the same level of evidence. We focus on three neurotransmitter systems in the brain: serotonin, dopamine, and glutamate. We summarize evidence from genetic, neuroimaging, animal model, and other lines of investigation that probe these three systems in patients with OCD. We also review recent work on predictors of response to current treatments. While many studies suggest abnormalities that may provide insight into the pathophysiology of the disorder, most studies have been small, and non-replication of reported findings has been common. Nevertheless, the gradual accrual of evidence for neurotransmitter dysregulation may in time lead the way to new pharmacological strategies.",2021
The Relationship Between Anxiety Disorders and Parkinson's Disease: Clinical and Therapeutic Issues.,"This paper seeks to describe anxiety's different symptomatologic presentations in Parkinson's disease (PD), its longitudinal course and predictors, as well as its motor and non-motor correlates. It also reviews the available screening tools and different treatment modalities. In PD, longitudinal predictors of anxiety are mostly non-motor non-dopaminergic symptoms. The longitudinal course of anxiety is mainly a stable one. The Parkinson Anxiety Scale and the Geriatric Anxiety Scale are the 2 recommended screening tools. A third of PD patients suffer from an anxiety disorder at any time point. It can precede or follow PD motor symptoms. Anxiety is associated with demographic, disease-related motor and non-motor features. There is a lack of studies evaluating psychotropic treatment of anxiety in PD. Adjustment of dopaminergic treatment is indicated when anxiety is associated with motor fluctuations. DBS can be useful as well as CBT and body-mind interventions.",2021
Dissociable dopaminergic and pavlovian influences in goal-trackers and sign-trackers on a model of compulsive checking in OCD.,"Checking is a functional behaviour that provides information to guide behaviour. However, in obsessive-compulsive disorder (OCD), checking may escalate to dysfunctional levels. The processes underpinning the transition from functional to dysfunctional checking are unclear but may be associated with individual differences that support the development of maladaptive behaviour. We examined one such predisposition, sign-tracking to a pavlovian conditioned stimulus, which we previously found associated with dysfunctional checking. How sign-tracking interacts with another treatment with emerging translational validity for OCD-like checking, chronic administration of the dopamine D<sub>2</sub> receptor agonist quinpirole, is unknown. We tested how functional and dysfunctional checking in the rat observing response task (ORT) was affected by chronic quinpirole administration in non-autoshaped controls and autoshaped animals classified as sign-trackers or goal-trackers. Sign-trackers or goal-trackers were trained on the ORT before the effects of chronic quinpirole administration on checking were assessed. Subsequently, the effects on checking of different behavioural challenges, including reward omission and the use of unpredictable reinforcement schedules, were tested. Prior autoshaping increased checking. Sign-trackers and goal-trackers responded differently to quinpirole sensitization, reward omission and reinforcement uncertainty. Sign-trackers showed greater elevations in dysfunctional checking, particularly during uncertainty. By contrast, goal-trackers predominantly increased functional checking responses, possibly in response to reduced discrimination accuracy in the absence of cues signalling which lever was currently active. The results are discussed in terms of how pavlovian associations influence behaviour that becomes compulsive in OCD and how this may be dependent on striatal dopamine D<sub>2</sub> receptors.",2020
Biological and Clinical Markers to Differentiate the Type of Anxiety Disorders.,"The present chapter is an overview of possible biomarkers which distinguish anxiety disorders as classified by the DSM-5. Structural or activity changes in the brain regions; changes in N-acetylaspartate/creatine, dopamine, serotonin, and oxytocin; hearth rate variability; hypothalamic-pituitary-adrenal axis activity; error-related negativity; respiratory regulation; and genetic variants are proposed. However, their clinical utility is questionable due to low specificity and sensitivity: the majority does not distinguish subjects with different anxiety disorders, and they might be influenced by stress, comorbidity, physical activity, and psychotropic medications. In this framework, the staging model, a clinimetric tool which allows to define the degree of progression of a disease at a point in time and where the patient is located on the continuum of the course of the disease, is proposed since several DSM anxiety disorders take place at different stages of the same syndrome according to the staging model. Thus, a stage-specific biomarker model for anxiety disorders is hypothesized and illustrated.",2020
Expression and co-expression of serotonin and dopamine transporters in social anxiety disorder: a multitracer positron emission tomography study.,"Serotonin and dopamine are putatively involved in the etiology and treatment of anxiety disorders, but positron emission tomography (PET) studies probing the two neurotransmitters in the same individuals are lacking. The aim of this multitracer PET study was to evaluate the regional expression and co-expression of the transporter proteins for serotonin (SERT) and dopamine (DAT) in patients with social anxiety disorder (SAD). Voxel-wise binding potentials (BP<sub>ND</sub>) for SERT and DAT were determined in 27 patients with SAD and 43 age- and sex-matched healthy controls, using the radioligands [<sup>11</sup>C]DASB (3-amino-4-(2-dimethylaminomethylphenylsulfanyl)-benzonitrile) and [<sup>11</sup>C]PE2I (N-(3-iodopro-2E-enyl)-2beta-carbomethoxy-3beta-(4'-methylphenyl)nortropane). Results showed that, within transmitter systems, SAD patients exhibited higher SERT binding in the nucleus accumbens while DAT availability in the amygdala, hippocampus, and putamen correlated positively with symptom severity. At a more lenient statistical threshold, SERT and DAT BP<sub>ND</sub> were also higher in other striatal and limbic regions in patients, and correlated with symptom severity, whereas no brain region showed higher binding in healthy controls. Moreover, SERT/DAT co-expression was significantly higher in SAD patients in the amygdala, nucleus accumbens, caudate, putamen, and posterior ventral thalamus, while lower co-expression was noted in the dorsomedial thalamus. Follow-up logistic regression analysis confirmed that SAD diagnosis was significantly predicted by the statistical interaction between SERT and DAT availability, in the amygdala, putamen, and dorsomedial thalamus. Thus, SAD was associated with mainly increased expression and co-expression of the transporters for serotonin and dopamine in fear and reward-related brain regions. Resultant monoamine dysregulation may underlie SAD symptomatology and constitute a target for treatment.",2021
Experiencing neonatal maternal separation increased the seizure threshold in adult male mice: Involvement of the opioid system.,"Experiencing early-life stress has been considered as a potent risk factor for the development of many of brain disorders, including seizures. Intervening mechanisms through which neonatal maternal separation (MS) alters the seizure susceptibility in adulthood have not been well studied. In the current study, by applying 180 min of MS stress (PND 2-14), we determined the seizure susceptibility and considered the role of the opioid system. Maternal separation increased the seizure threshold, and administration of anticonvulsant/proconvulsant doses of morphine (1 and 30 mg/kg, respectively) reversed the impact of MS. Using tail flick and hot plate tests, we exposed animals to 30 min Restraint stress (RS) and found that MS decreased the pain threshold, suggesting the hyporesponsiveness of the opioid system. These results supported the abnormal seizure activity observed in the MS mice and suggested that abnormalities in the opioid system following MS alter seizure susceptibility in later life.",2015
Understanding mechanisms and documenting plausibility of palliative interventions for dyspnea.,"To review the mechanisms for the perception of dyspnea and to consider the plausibility of interventions that palliate dyspnea after optimal treatment of the underlying disease. Activation of sensory receptors by blood gas abnormalities, mechanical respiratory loads, and hyperinflation provides afferent information to the central nervous system for integration and processing. It has been proposed that a discriminative pathway processes afferent impulses to the somatosensory cortex that reflects the intensity of dyspnea, whereas an affective pathway projects afferent impulses to structures of the limbic system that reflects the unpleasantness of dyspnea. In one study, patients with chronic obstructive pulmonary disease reported consistently higher ratings of breathlessness after administration of naloxone, an opioid receptor antagonist, compared with physiological saline during high-intensity treadmill exercise. This finding supports the role of endogenous opioids in modulating dyspnea. Nebulized furosemide, anti-inflammatory therapy, and chest wall vibration are potential approaches for modulating lung and chest wall receptors to relieve dyspnea. Targets for palliating dyspnea in patients with advanced disease include sensory receptors within the lung/chest wall and the central nervous system. The opioid system plays an important role in palliating dyspnea. Both endogenous (β-endorphins) and exogenous (morphine) opioids modulate breathlessness.",2011
[Effect of physical activity on anxiety and depression].,"The advantages of physical activity are widely recognised from both a physiological and a psychological perspective. Evidence seems to demonstrate that physical activity is associated with decreases in depression and anxiety in clinical and non-clinical populations. There are a number of physiological, biochemical and psychological explanations which should be considered to understand the psychological effects of exercise. Physical activity may be considered as an adjunct to psychotherapeutic and pharmacological treatments of depression and anxiety. Physical activity appears to be a non-specific form of treatment with psychotherapeutic potential that should not be ignored.",2009
Hyper-anxiety in early sobriety: psychopharmacological treatment strategies.,"The importance of recognizing and treating anxiety disorders that co-occur with alcohol use disorders should not be underestimated, whether the anxiety is state (a transient condition) or trait (a chronic disorder). This article will discuss hyper-anxiety, a term the authors use to describe the uncomfortable, excessively anxious state that contributes to relapse. In addition, psychopharmacological strategies for relief of hyper-anxiety are suggested, and implications for recovery are discussed.",2006
Stereotypies and behavioural medicine: confusions in current thinking.,"Stereotypies are defined as being repetitive, unvarying behaviours that appear to have no goal or function. This group of behaviours presents itself commonly in clinical behavioural practice. In recent companion animal behaviour literature the nomenclature has been changed to obsessive-compulsive disorder without considering the confusion this may create. Theories about the role endorphins play as a cause of stereotypies and an assumption about stereotypies playing a 'coping' role have been presented as scientific fact with little evidence supporting them. A failure to consider changes associated with stereotypy maturation and a reliance on anecdotal treatment success has lead to confusion regarding certain aspects of the development, diagnosis and treatment of these conditions. In this paper I present the idea that much of our confusion surrounding stereotypies is created by attempts to oversimplify a complex phenomenon.",2003
[Humoral factors (beta-endorphin and adrenocorticotropin) in irritable bowel syndrome and their relations with psychological disorders and characteristics of disorders in the large intestine motility].,"The object of this study was to discover mental functions, humoral regulation and large intestinal motor dysfunction in patients with the irritable bowels syndrome (IBS) in order to develop principles of their differential correction. A group of 106 patients (26 men and 80 women) with the irritable bowels syndrome was examined. The IBS diagnosis was made in accordance with the Rome criteria (1999). The control group included 21 somatically healthy volunteers (16 women and 5 men). Patients from both of the groups underwent clinical and psychological as well as plasma beta-endorphin concentration studies; colonic motor activity was also studied in patients with the IBS by the method of electric colonoscopy. Mental changes and certain particular features of the large intestine humoral regulation and motor activity determining the differential treatment for this category of patients were discovered.",2003
[A control study of personality characteristics and variation of plasma peptide in pilots with neurosis].,"Objective. To study the relationship between personality type and variation of plasma peptides in pilots with neurosis. Method. A case-control study was used. 124 male pilots were evaluated with Eysenck's personality checklist, and then level of certain plasma peptides, such as vasoactive intestinal peptide (VIP), beta-endorphin (beta-EP) and angiotensin-II (A-II) were determined. Result. There were significant difference in personality characteristics and personality types between pilots with neuroses and the control. The contents of VIP and beta-EP in plasma showed visible difference between disease group and control. Content of beta-EP in those with inner-unstable type personality was lowest among all the various types. Conclusion. Personality characteristics were different between pilots with neurosis and controls. Levels of VIP and beta-EP in disease group were lower than those in the control. Different personality types had different levels of beta-EP in pilots with neurosis.",2001
[The neuropeptide compensation for impared brain functions in the ascending row of mammals: interaction between the nervous and immune systems].,,2001
Tickling induces reward in adolescent rats.,"In adolescent rats, 50-kHz vocalizations are most evident during tickling and rough-and-tumble play. The following experiments evaluated whether 50-kHz vocalizations reflect positive social affect by determining (1) if tickling is a rewarding event, (2) if social or isolate housing conditions differentially influence the response (since housing condition has been found to effect the reward magnitude of social encounters), and (3) if drugs that work on mu-opiate receptors, which has been hypothesized to control positive social affect, modulate tickling. Tickling was positively reinforcing as demonstrated by elevated operant behavior, conditioned place preference, and approach measures. A significant negative correlation between vocalization rate and approach latency measures was found. Social housing reduced tickle-induced vocalizations and approach speeds compared to isolate housing. Naloxone (1 mg/kg) increased vocalization in the socially housed rats and decreased it in isolated Subjects (Ss). These findings suggest that tickling can be used to induce positive social affect in rodents, and that it is modulated by endogenous opioids.",2001
Neuroendocrine responses to psychological stress in adolescents with anxiety disorder.,"Neurotransmitter-neuroendocrine and cardiovascular responses to the administration of a psychologically stressful mixed-model test (Mental Arithmetic, Stroop Color Word Interference Task, Trier Social Stress Test) were examined in 20 male peripubertal subjects affected by anxiety disorder (group A: 14 with generalized anxiety disorder, 6 with generalized anxiety disorder and separation anxiety disorder) and 20 junior school adolescents, matched for age, without overt psychological disorders (group B). Plasma levels of norepinephrine (NE), epinephrine (EPI), adrenocorticotropic hormone (ACTH), beta-endorphin (beta-EP), cortisol (CORT), growth hormone (GH), prolactin (PRL) and testosterone (Te) were measured immediately before the beginning of the tests and 30 min later at their end. Mean prestress values of GH, PRL, beta-EP and ACTH were significantly higher in anxious subjects than in controls. There was no difference in NE, EPI, CORT and Te prestress levels in the two groups. After the psychological stress session NE, GH and Te concentrations increased significantly in anxious subjects (A), but not in controls. In contrast, beta-EP and PRL decreased significantly during the psychological stress session in anxious subjects, and were unaffected by stress in the subjects without anxiety. No significant changes were found in ACTH, CORT and EPI during the challenge either in anxious subjects or in controls, which may be attributed to the late time of poststress blood sampling. In contrast to controls, heart rate and systolic blood pressure increased significantly in anxious subjects after psychological stress testing. Our data support the hypothesis that the hyperactivity of the noradrenergic system in response to stress is associated with anxiety disorders in adolescents and might influence the responses of GH and Te. High prestress basal values of stress hormones seem to be induced in anxious subjects by the anticipation of the task or by a persistent hyperactivity of the noradrenergic system. Further studies are needed to investigate in more detail the involvement of the HPA axis in anxious adolescents by a more refined resolution of time points of blood sampling.",2000
No evidence for opioid-mediated analgesia induced by phobic fear.,"The influence of anxiety on acute pain sensation was investigated, studying the relative contribution of endogenous opioids and attentional mechanisms. Thirty-six spider phobics received mildly painful electrical stimulation, while anxiety and focus of attention were manipulated within subjects. The opioid antagonist naloxone or placebo was administered between subjects to examine an analgesia owing to anxiety-induced endorphinergic activity. In contrast to earlier findings, attention towards pain failed to increase pain as opposed to distraction from pain, probably owing to a less effective attention manipulation. Furthermore, despite high levels of anxiety, subjective pain ratings were not influenced by anxiety, although heart rate responses were slightly inhibited. Accordingly, there was no increase in subjective or physiological pain responses as a result of naloxone, nor did beta-endorphin plasma levels rise during anxiety. The results suggest that phobic anxiety does not induce an opioid-mediated analgesia. Curiously, naloxone itself effected a dose-dependent analgesia compared to placebo during both high and low anxiety, which is compatible with the assumption of agonist properties of naloxone in the absence of opioid activity.",1997
Anxiety and pain: attentional and endorphinergic influences.,"The role of attentional mechanisms and endogenous opioids in the influence of anxiety on acute pain sensation was investigated. Forty-five spider phobics received mildly painful electrical stimulation. The opioid antagonist naltrexone or placebo was administered between subjects to examine an analgesia due to anxiety-induced endorphinergic activity, while anxiety and focus of attention were manipulated within subjects. In accordance with previous research, pain ratings and skin conductance responses (SCRs) were not influenced by anxiety when focus of attention was controlled for. Attention towards pain led to an increase in subjective pain as opposed to distraction from pain. SCRs, however, were increased in the distraction conditions, probably due to heightened unexpectedness. Further, both high and low anxiety resulted in an analgesia compared to the pretest in the placebo condition, which was reversed by a low dose of naltrexone, but not by a high dose. Apart from possible agonist properties of high doses of naltrexone, this effect suggests an opioid-induced analgesia. It remains to be demonstrated whether this was due to endogenous opioids released during high anxiety.",1996
Pentagastrin induced panic attacks: enhanced sensitivity in panic disorder patients.,"The effects of pentagastrin, a synthetic analogue of the cholecystokinin tetrapeptide (CCK4), were studied in 15 patients with panic disorder and 15 healthy controls. Three different intravenous dosages of pentagastrin (0.1, 0.3 and 0.6 microgram/kg) and saline were investigated. Subjects were randomly allocated to two of the four treatment groups and tested on two separate occasions, 1 week apart, using an unbalanced double-blind incomplete block design. The mean panic rate with pentagastrin was 55% (12/22) for patients and 5% (1/22) for controls. None of the subjects panicked with saline. The frequency of panic attacks between the three pentagastrin doses in patients was not different. One control subject had a panic-like attack at the highest dose of pentagastrin. These findings concur with previous studies on the panicogenic effect of CCK4 and pentagastrin and suggest a greater sensitivity for CCK receptor agonists in patients suffering from panic disorder than in healthy controls.",1994
Testing the suffocation false alarm theory of panic disorder.,"The need for hypotheses concerning the nature of those functions that have been impaired in stereotyped psychiatric syndromes is emphasized. With regard to panic disorder, the key role of the spontaneous panic attack became apparent from several viewpoints. However, panics seem to be a type of misreleased fear, which guided the thinking concerning the nature of possible psychological or physiological malfunctions. We indicate that spontaneous panic cannot be fear, but must represent some other malfunction and suggest that the spontaneous panic is a suffocation false alarm. The development of this idea is outlined, and attempts to develop tests of this hypothesis are indicated. In particular, studies of children with congenital central hypoventilation syndrome, patients with Chronic Obstructive Pulmonary Disease, dyspnea, field measures of panic, pregnancy, childbirth and the postpartum period, as well as the premenstrual syndrome afford pointed opportunities, new information and potential tests of the theory. A recent challenge to the theory from acetazolamide infusion is discussed. Developing a possible antecedent for the pathologically depressed threshold for the suffocation alarm, in the form of a phasic endorphinergic deficiency, is presented.",1994
Opioid antagonist affects behavioral effects of exposure in vivo.,"This study tested the hypothesis that endogenous opioids are involved in the extinction of phobic fear through exposure in vivo. Forty-eight spider phobics participated in a 2-hr therapist-directed exposure in vivo treatment. Sixteen Ss were assigned to placebo, 16 to a low dose of naltrexone, and 16 to a high dose of naltrexone. Before intervention, after treatment, and at a 1-wk follow-up test, self-report, physiological, and behavioral measures of phobic fear were completed. At 1-wk follow-up, naltrexone was significantly related, in a dose-dependent way, to a greater relapse on avoidance measures but not on emotional, cognitive, and physiological measures. Endogenous opioids may be specifically involved in the extinction of avoidance behavior but not in the extinction of all aspects of phobic fear.",1993
"Endorphins stimulate approach behaviour, but do not reduce subjective fear. A pilot study.","The present study explored whether endorphins have a short-term influence on behavioural approach to a phobic object and on the experience of fear. In a double-blind design, spider phobics (n = 30) received a placebo, a low dose (25 mg) or a high dose (100 mg) of naltrexone, an endorphin blocker. Approach to a spider appeared to be negatively influenced by the endorphin blocker, but subjective fear was not significantly related to it. The findings support the view that endorphin release during anxiety stimulates courageous behaviour, but does not directly reduce the experience of fear.",1993
Association of beta-endorphin with specific clinical symptoms of depression.,"Abnormalities in plasma concentrations of beta-endorphin-like immunoreactivity (beta-endorphin) have been reported in depressed patients. This study was done to test the hypothesis that specific clinical characteristics of depression are associated with plasma beta-endorphin concentration. Plasma beta-endorphin was evaluated in 20 depressed patients diagnosed according to DSM-III-R and in 23 age- and sex-matched comparison subjects, and each was evaluated with the structured Schedule for Affective Disorders and Schizophrenia (SADS). Twelve SADS items involving dysphoric mood and related symptoms were chosen for analysis. Within the group of all 43 subjects and within the depressed group, beta-endorphin level correlated significantly with psychic anxiety and with phobia. In the depressed group only, beta-endorphin also correlated significantly with obsessions/compulsions. Concentration of beta-endorphin was not significantly correlated with score on the Hamilton Rating Scale for Depression or Beck Depression Inventory or with scores on other SADS symptom items, including somatic anxiety, insomnia, subjective anger, overt anger, agitation, psychomotor retardation, panic attacks, appetite loss, or total weight loss. In the group of 23 comparison subjects, beta-endorphin did not correlate with Beck or Hamilton depression score or with any of the SADS clinical variables. High levels of plasma beta-endorphin may be associated with more severe anxiety, phobia, and obsessions/compulsions in depressed patients.",1992
[Plasma neuropeptides in affective and anxiety disorders].,"The levels of Neurotensin, VIP, Somatostatin, beta-endorphin and Bombesin have been investigated in plasma of 16 depressed and 20 anxious patients. VIP and Neurotensin were found significantly decreased in patients vs a group of 20 controls. Neurotensin levels returned to normal values after recovery. There were no significant differences from the normal in the concentrations of Somatostatin, beta-endorphin and Bombesin in the disease groups.",1992
Psychoimmunoendocrine aspects of panic disorder.,"Immunological, neuroendocrine and psychological parameters were examined in 14 psychophysically healthy subjects and in 17 panic disorder patients before and after a 30-day course of alprazolam therapy. T lymphocyte proliferation in response to the mitogen phytohemagglutinin, lymphocyte beta-endorphin (beta-EP) concentrations, plasma ACTH, cortisol and beta-EP levels were examined in basal conditions and after corticotropin-releasing hormone (CRH) stimulation. Cortisol inhibition by dexamethasone (DST) and basal growth hormone (GH) and prolactin levels were also examined. Depression, state or trait anxiety, anticipatory anxiety, agoraphobia, simple and social phobias, severity and frequency of panic attacks were monitored by rating scales. The immune study did not reveal any significant difference between patients and controls, or any effect of alprazolam therapy. The hormonal data for the two groups were similar, except for higher than normal basal ACTH and GH plasma levels, lower than normal ratios between the ACTH and cortisol responses to CRH, and blunted DST in some patients. All the impairments improved after alprazolam therapy, in parallel with decreases in anxiety and in severity and frequency of panic attacks.",1992
CSF opioids in panic disorder.,,1991
Opioid antagonist impedes exposure.,"Exposure is a rapid and effective treatment for simple phobias. This study tested the assumption that endorphin release may be involved in exposure to a feared situation. Thirty spider-phobic Ss underwent exposure to 17 phobic-related, graded performance tasks. Half the Ss were randomly assigned to naltrexone, an opioid antagonist, and half to a placebo. Measures of heart rate, blood pressure, self-efficacy, anxiety, and cognitions were obtained during treatment. Six of the 15 Ss in the naltrexone group dropped out after the 10th step in the treatment compared with 1 of the 15 Ss in the placebo group, chi 2(1, N = 30) = 4.7, p = .03. The naltrexone group took significantly longer to complete the first 10 steps (the last step that included all Ss) compared with the placebo group, F(9, 252) = 2.17, p = .024. Maximum heart rate and anxiety were significantly greater at Step 10 in the naltrexone group, but no differences were found for self-efficacy or cognitions. The study provides further evidence that the endogenous opioid system may be involved in the process of exposure.",1991
"Immunoreactive beta-endorphin, cortisol, and growth hormone plasma levels in obsessive-compulsive disorder.","Basal morning plasma levels of immunoreactive-beta-endorphin (ir-beta-EP), cortisol, and growth hormone (GH) were assessed in 13 obsessive-compulsive disorder (OCD) patients in comparison to 20 healthy controls. All subjects were drug free for at least 1 year. The mean plasma level of ir-beta-EP was significantly lower (36%) in the OCD patients when compared with the control subjects. The decrease in ir-beta-EP was not accompanied by alteration in cortisol and GH plasma levels.",1990
"[Opioid peptides in the dynamics of ""physiological"" and ""pathological"" stress].","Clinical studies showed that short-term ""physiological"" stress (bicycle ergometry) did not cause increase of the blood plasma enkephalin content. Moderate-term (60-minute) stress, according to O. Desiderato, causes a rise of the blood enkephalin level in rats. It is supposed that such a reaction of the opioid system is characteristic of borderline conditions between normal and pathological states in stress. Severe ""pathological"" stress (myocardial infarction, experimental coronary occlusion, 6-hour stress after O. Desiderato) in rats led to a decrease of the concentration of enkephalins in the blood and disorders of their secretion and storage in the adrenals. It is suggested that changes of the activity of the opioid system are a predictor of the transition of a ""physiological"" stress to a ""pathological"" stress.",1990
A cerebrospinal fluid study of the pathophysiology of panic disorder associated with alcoholism.,"In order to investigate the neurochemistry of panic disorder in alcoholics, we measured various cerebrospinal fluid (CSF) parameters in subjects with both conditions and compared them with an age- and sex-matched population of alcoholics and normal controls. When height, age and weight were covaried, subjects with panic disorder had higher levels of B-endorphin in CSF. There were no differences in other CSF measures between the groups. Alcoholics with panic disorder had higher plasma MHPG concentrations compared with alcoholics without panic disorder but these were not statistically different from controls.",1990
"Behavioral, neuroendocrine, and biochemical effects of 5-hydroxytryptophan administration in panic disorder.","L-5-Hydroxytryptophan (5HTP) was administered to 20 patients suffering from panic disorder and to 20 healthy controls. Subjects received 60 mg 5HTP in 300 ml saline solution. Before, during, and up to 2 hours after 5HTP administration, symptoms of anxiety and depression were assessed. In addition, plasma 5HTP, 3-methoxy-4-hydroxyethylglycol (MHPG), cortisol, beta-endorphin, and melatonin levels were measured at several time points, and the kinetics of 5-hydroxytryptamine (5HT) in blood platelets were measured. During and after the infusion of 5HTP, none of the patients showed an increase in anxiety or depressive symptoms, despite the presence of severe side effects. Some patients even experienced the 5HTP infusion as a relief. In contrast to the patients, nine control subjects reported depressed mood, although no increases in anxiety were noted. In both patients and controls, the 5HTP infusion led to substantial increases in plasma cortisol and beta-endorphin levels, while the plasma MHPG level was unchanged. Plasma melatonin increased significantly after 5HTP administration, suggesting that increasing 5HT availability in man might affect melatonin synthesis. The results of this study are at odds with the hypothesis that there is a supersensitivity of 5HT2 receptors in panic disorder.",1990
Altered glutamate concentration in the subcortical nuclei and its correlation with resting-state functional connectivity in unmedicated obsessive-compulsive disorder.,"The imbalance of glutamate (Glu) and gamma-aminobutyric acid (GABA) in the cortico-striatal-thalamo-cortical (CSTC) circuit is closely related to the onset of obsessive-compulsive disorder (OCD). The caudate nucleus and thalamus are the critical hubs of the CSTC circuit; however, few studies have explored the correlation between the neurochemical changes of subcortical nuclei and the resting-state functional connectivity (rsFC) within the CSTC circuit in OCD patients. In this study, 24 OCD patients and 17 healthy controls (HCs) underwent resting-state functional MRI (rs-fMRI) scans and proton magnetic resonance spectroscopy (<sup>1</sup>H-MRS) acquisition. The bilateral caudate nucleus and thalamus were used as the regions of interest (ROIs) for ROI-to-ROI rsFC analysis within CSTC circuit and Glu/GABA calculation to explore altered metabolite concentration in the subcortical nuclei and its correlation with rsFC. A significant increase of Glu in the left thalamus (Thalamus_L), an increase of Glu/GABA in the right thalamus (Thalamus_R), and a decrease of GABA in Thalamus_R were observed in the OCD patients compared to HCs. The rsFC showed widespread reductions among CSTC core nodes (caudate-thalamus-orbitofrontal cortex (OFC)). Furthermore, correlation analysis revealed a significant positive correlation between left caudate Glu levels and left caudate-right OFC rsFC. These findings provided the new evidence of glutamatergic modulation in this pathway's functional integration.",2025
Anti-panic effect of fluoxetine during late diestrus in female rats is mediated through GABAergic mechanisms in the dorsal periaqueductal gray.,"Panic disorder is more frequent in women than in men. In women, vulnerability to panic is enhanced during the late luteal phase of the menstrual cycle. At this time secretion of progesterone and its neuroactive metabolite allopregnanolone (ALLO), which acts as a positive allosteric modulator of the actions of GABA at GABA<sub>A</sub> receptors, decline sharply. In female rats, responsiveness to a hypoxic panicogenic challenge increases during the late diestrus (LD) phase as ALLO concentration in the brain falls. During LD, short-term treatment with fluoxetine at a low dose (1.75 mg/kg i.p.) blocked panic-related escape behavior in response to hypoxia. At this dose fluoxetine increases brain concentration of ALLO without affecting 5-HT levels, thereby stabilizing brain ALLO concentration. We here report that the panicolytic-like effect of fluoxetine during LD is prevented by microinjection of the GABA<sub>A</sub> receptor antagonist bicuculline (5 pmol) into the dorsal periaqueductal gray (dPAG), a key panic-related area. This result suggests that fluoxetine's effect is indirectly mediated via a GABAergic mechanism in the dPAG and highlights the important role of changes in GABAergic tone in regulating neuronal excitability in the panic circuitry during the estrous cycle. It also points to the potential for using short-term, low dose fluoxetine as an anti-panic medication in women.",2025
GABAergic implications in anxiety and related disorders.,"Evidence indicates that anxiety disorders arise from an imbalance in the functioning of brain circuits that govern the modulation of emotional responses to possibly threatening stimuli. The circuits under consideration in this context include the amygdala's bottom-up activity, which signifies the existence of stimuli that may be seen as dangerous. Moreover, these circuits encompass top-down regulatory processes that originate in the prefrontal cortex, facilitating the communication of the emotional significance associated with the inputs. Diverse databases (e.g., Pubmed, ScienceDirect, Web of Science, Google Scholar) were searched for literature using a combination of different terms e.g., ""anxiety"", ""stress"", ""neuroanatomy"", and ""neural circuits"", etc. A decrease in GABAergic activity is present in both anxiety disorders and severe depression. Research on cerebral functional imaging in depressive individuals has shown reduced levels of GABA within the cortical regions. Additionally, animal studies demonstrated that a reduction in the expression of GABA<sub>A/B</sub> receptors results in a behavioral pattern resembling anxiety. The amygdala consists of inhibitory networks composed of GABAergic interneurons, responsible for modulating anxiety responses in both normal and pathological conditions. The GABA<sub>A</sub> receptor has allosteric sites (e.g., α/γ, γ/β, and α/β) which enable regulation of neuronal inhibition in the amygdala. These sites serve as molecular targets for anxiolytic medications such as benzodiazepine and barbiturates. Alterations in the levels of naturally occurring regulators of these allosteric sites, along with alterations to the composition of the GABA<sub>A</sub> receptor subunits, could potentially act as mechanisms via which the extent of neuronal inhibition is diminished in pathological anxiety disorders.",2024
The relationship between oxidative stress markers and 1H-Magnetic resonance spectroscopy findings in obsessive compulsive disorder.,"The purpose of this study was to examine N-acetyl aspartate (NAA)/creatine (Cr) and glutamate, glutamine, and gamma-aminobutyric acid complex (Glx)/Cr levels in patients with obsessive compulsive disorder (OCD) and healthy controls' orbitofrontal cortex (OFC) and caudate nucleus (CN) by proton magnetic resonance spectroscopy (1H-MRS) method and to investigate their relationship with oxidative stress markers glutathione peroxidase (GPx) and superoxide dismutase (SOD). This study included patients with OCD (n = 25) and healthy controls (n = 25) ranging in age from 18 to 65. We used the ELISA method to evaluate serum SOD and GPx levels. Levels of NAA/Cr and Glx/Cr in the orbitofrontal cortex and caudate nucleus were measured using the 1H-MRS method. Our study did not detect statistically significant differences in the orbitofrontal cortex Glx/Cr and NAA/Cr levels between the OCD patients and the control group. OCD patients exhibited a decrease in NAA/Cr levels, consistent with impaired neuronal integration, and an increase in Glx/Cr levels, consistent with hyperactivation, in the caudate nucleus compared to the control group. We observed a negative correlation between NAA/Cr levels in the caudate nucleus and the levels of SOD and GPx. Our study is the first to assess CN and OFC together in OCD patients using 3 T MR, investigating the relationship between neurometabolite concentrations and oxidative stress parameters. The negative correlation we observed between NAA/Cr levels and SOD and GPx in the caudate nucleus suggests that increased oxidative stress in this brain region in OCD patients may contribute to impaired neuronal integration and functionality.",2024
